FrameID,Uncompressed,Compressed_Mbytes,Compressed_Mbits_q=32
522,5.93,0.8,6.4
523,5.93,0.8,6.4
524,5.93,0.8,6.4
525,5.93,0.8,6.4
526,5.93,0.8,6.4
527,5.93,0.8,6.4
528,5.93,0.8,6.4
529,5.93,0.79,6.32
530,5.93,0.79,6.32
531,5.93,0.79,6.32
532,5.93,0.79,6.32
533,5.93,0.8,6.4
534,5.93,0.8,6.4
535,5.93,0.8,6.4
536,5.93,0.79,6.32
537,5.93,0.79,6.32
538,5.93,0.78,6.24
539,5.93,0.78,6.24
540,5.93,0.78,6.24
541,5.93,0.79,6.32
542,5.93,0.78,6.24
543,5.93,0.78,6.24
544,5.93,0.78,6.24
545,5.93,0.78,6.24
546,5.93,0.77,6.16
547,5.93,0.77,6.16
548,5.93,0.77,6.16
549,5.93,0.76,6.08
550,5.93,0.77,6.16
551,5.93,0.77,6.16
552,5.93,0.76,6.08
553,5.93,0.76,6.08
554,5.93,0.76,6.08
555,5.93,0.75,6.0
556,5.93,0.76,6.08
557,5.93,0.76,6.08
558,5.93,0.75,6.0
559,5.93,0.76,6.08
560,5.93,0.76,6.08
561,5.93,0.75,6.0
562,5.93,0.75,6.0
563,5.93,0.74,5.92
564,5.93,0.74,5.92
565,5.93,0.73,5.84
566,5.93,0.74,5.92
567,5.93,0.73,5.84
568,5.93,0.73,5.84
569,5.93,0.73,5.84
570,5.93,0.73,5.84
571,5.93,0.73,5.84
572,5.93,0.73,5.84
573,5.93,0.72,5.76
574,5.93,0.73,5.84
575,5.93,0.72,5.76
576,5.93,0.72,5.76
577,5.93,0.72,5.76
578,5.93,0.72,5.76
579,5.93,0.72,5.76
580,5.93,0.72,5.76
581,5.93,0.72,5.76
582,5.93,0.71,5.68
583,5.93,0.71,5.68
584,5.93,0.71,5.68
585,5.93,0.71,5.68
586,5.93,0.71,5.68
587,5.93,0.71,5.68
588,5.93,0.71,5.68
589,5.93,0.71,5.68
590,5.93,0.71,5.68
591,5.93,0.71,5.68
